index,potential,temperature,ib0,ib1,label
index0_0,-65962.71853804588,307.1977963858718,-2.6194299490702457,-2.511966386115059,0
index0_1,-66016.85650539398,305.01955798694553,-2.683334325236416,-2.532131468300741,0
index0_10,-65788.77920913696,308.22781391300316,-2.8353346908154027,-2.6144821765644757,0
index0_11,-65869.92723226547,317.1758471295582,-2.806500633047154,-2.6186310779524,0
index0_12,-65999.58988504112,294.85549146727607,-2.7731403002123782,-2.5881386924364076,0
index0_13,-65876.25766730309,304.1317260090864,-2.7735209022905565,-2.5921375847552808,0
index0_14,-65879.13440713286,311.5843653485145,-2.78219346599044,-2.602960489884942,0
index0_15,-66133.98015254736,302.3757619588299,-2.7237934957973806,-2.5662759337192806,0
index0_16,-66158.93072986603,310.932687859285,-2.811089235552817,-2.6035228046646486,0
index0_17,-65931.63230085373,311.0769090043322,-2.7947497798629213,-2.591297016123611,0
index0_18,-65996.8317130804,306.8768487684747,-2.8296034233167147,-2.6378023497779397,0
index0_19,-66006.26658296585,317.9380238383049,-2.8615484998010494,-2.6468299786917084,0
index0_2,-65911.35120546818,312.9264682545891,-2.740553954599465,-2.564059123576741,0
index0_20,-65855.24979305267,305.07759582898495,-2.807158416745266,-2.6065250608882584,0
index0_21,-65841.61386537552,312.4791584928404,-2.8327103034851757,-2.626230852939645,0
index0_22,-65960.87646341324,298.60456729818833,-2.7742632621189287,-2.600746282226749,0
index0_23,-65932.90155220032,298.2053337677333,-2.818345101165125,-2.618214536706887,0
index0_24,-66111.74832561612,304.54179665147586,-2.7588935955668665,-2.591094354879381,0
index0_25,-65821.41395640373,312.98404892846054,-2.7246949735791577,-2.5780732115092926,0
index0_26,-65873.59337854385,294.36300245743126,-2.7783600876098173,-2.603618125446685,0
index0_27,-66058.6832266748,296.5660268138641,-2.722663267208231,-2.5769654474950405,0
index0_28,-65793.32548379898,315.9590664663495,-2.817755255001452,-2.6146389017716887,0
index0_29,-65894.55299520493,324.6796322408545,-2.752113836830348,-2.591515502517331,0
index0_3,-65846.70027542114,305.42478650098246,-2.793627243298288,-2.5996797247080483,0
index0_30,-65897.81264781952,319.2134824199514,-2.7508661448674805,-2.574697990580524,0
index0_31,-66072.42743968964,307.27300117229714,-2.7647393210097215,-2.589683142915887,0
index0_32,-66030.08647203445,300.6442882649153,-2.78220334493423,-2.5981842544941878,0
index0_33,-65916.07396125793,314.4765356583326,-2.777447256532674,-2.598158690970638,0
index0_34,-66067.60858765244,295.4781568695195,-2.7438996184919144,-2.5847062350893495,0
index0_35,-65996.715297997,302.42507900871885,-2.704707512218522,-2.5677015712296845,0
index0_36,-65888.15203261375,303.53180307573814,-2.7165490066399824,-2.5748812725743813,0
index0_37,-65995.17764186859,306.1537900974375,-2.77071328305809,-2.6126765886904915,0
index0_38,-65880.74304163456,311.7739866940152,-2.7207989862435613,-2.5674325459491376,0
index0_39,-65805.42265880108,309.389963500794,-2.809761986501455,-2.6200128634694178,0
index0_4,-65899.22999227047,308.1641010807068,-2.7592098224947414,-2.5757338340072,0
index0_40,-65993.78496849537,307.07193347373726,-2.7600775970408806,-2.5921335444835543,0
index0_41,-66094.00830197334,292.06851264531554,-2.7467950900841567,-2.583336124539013,0
index0_42,-66072.59384405613,295.4616516552656,-2.7457004864280856,-2.5947065255734127,0
index0_43,-65929.4936273098,314.8710814490365,-2.6896932124314232,-2.563949028205873,0
index0_44,-66145.8629809618,307.2205456617964,-2.7221300739121186,-2.5881125757084353,0
index0_45,-66136.545753479,304.0387298486374,-2.68071082345867,-2.569497928085338,0
index0_46,-65847.03917694092,307.96531421930666,-2.77726927404244,-2.613791274521844,0
index0_47,-66013.37097930908,306.1209344505016,-2.8011309487358593,-2.6211189674039166,0
index0_48,-66048.34362411499,301.860510400288,-2.7980094687285977,-2.6085094790496077,0
index0_49,-65976.42087197304,312.62970095439636,-2.744400205054437,-2.5801182530595206,0
index0_5,-65991.5976626277,314.2257877537229,-2.799379016903412,-2.606311520697423,0
index0_50,-66044.22857475281,305.11327275075087,-2.7697923372203617,-2.5926977572608925,0
index0_51,-65898.29878258705,314.54876717210743,-2.7492197231630184,-2.5752274159748314,0
index0_52,-65888.57006835938,297.6963314481365,-2.7717160142795794,-2.61008218525122,0
index0_53,-65920.0670901835,310.0628613246617,-2.766344609127509,-2.5891797839951827,0
index0_54,-66118.3737411499,310.3956842431967,-2.7341105932251812,-2.5797557406217986,0
index0_55,-65853.32325839996,304.83127130179577,-2.772497535451254,-2.610573849872192,0
index0_56,-65967.91972756386,314.1616411904019,-2.784084846378109,-2.605462590653159,0
index0_57,-65851.17594909668,299.32064155803965,-2.7412134742889878,-2.5914329338455966,0
index0_58,-65872.91293549538,309.0171598485979,-2.8315638140010604,-2.625046843944435,0
index0_59,-65875.94894230366,302.2069064176951,-2.7086459688057665,-2.5641584461283635,0
index0_6,-66174.02930523828,295.4049674854878,-2.8267183718163,-2.617304943564899,0
index0_60,-66000.27561855316,308.88383246246485,-2.6968133736701296,-2.5715385516522895,0
index0_61,-65886.38090246916,326.69528226150123,-2.8325324914434606,-2.634973848063962,0
index0_62,-65995.65649735928,296.92925061092967,-2.7664952380492798,-2.602571012377817,0
index0_63,-66087.46161597967,313.4795250802484,-2.6942770361037955,-2.564788933426965,0
index0_64,-66177.0685710907,308.9953357565797,-2.7806611843666085,-2.6187642067909547,0
index0_65,-65904.80735611916,308.227209505542,-2.699495463911416,-2.5840316913733505,0
index0_66,-65842.39922910929,296.09011725789196,-2.784017427985753,-2.618497644154815,0
index0_67,-66069.89183807373,307.0473361102571,-2.723867760541706,-2.5814117938297914,0
index0_68,-65783.47168242931,314.4956994916029,-2.7356715376189396,-2.5868691174982326,0
index0_69,-66034.84771072865,319.71301490686994,-2.6771694773772983,-2.569159732674258,0
index0_7,-65925.90252232552,303.59614761308245,-2.808963214953729,-2.623801684126173,0
index0_70,-66025.30329436064,304.51915945821537,-2.6796679476975775,-2.560555948736069,0
index0_71,-66052.48660770059,307.13088014399824,-2.7383496848945734,-2.581681607287349,0
index0_72,-65994.66912412643,298.5519933163493,-2.73869832368514,-2.5938507187970568,0
index0_73,-65847.51628065109,307.6762376412465,-2.7490045585009066,-2.616711778832845,0
index0_74,-66036.29631185532,300.9456948442749,-2.6891994242199657,-2.5578545717422054,0
index0_75,-65947.90665310621,303.8131019912713,-2.7209081733773917,-2.5918191007818923,0
index0_76,-65852.14672422409,313.5626076437269,-2.6892569148238508,-2.572097927712697,0
index0_77,-65878.07841801643,314.97047674218686,-2.6883341132348706,-2.58165350324322,0
index0_78,-65912.90870982409,301.7670880541878,-2.7269647795218823,-2.614568193175357,0
index0_79,-65955.33533596992,311.37032500818185,-2.790405617660814,-2.6386347678252093,0
index0_8,-65873.94704413414,312.8725086895278,-2.797014363987427,-2.597403648412115,0
index0_80,-65913.28330993652,317.30928897562114,-2.756352066423408,-2.606578151866792,0
index0_81,-65981.82742500305,319.221965389192,-2.7413186591193917,-2.600596295169866,0
index0_82,-66024.69945001602,311.07139439670914,-2.764077463567185,-2.605635216261771,0
index0_83,-65976.4936299324,311.71355360261333,-2.7805041473921612,-2.6348058092802615,0
index0_84,-65940.02561545372,302.3782286699883,-2.7734742215598405,-2.624617751376686,0
index0_85,-66067.58689001203,295.93373919947294,-2.7905576343678677,-2.6281455545137447,0
index0_86,-65707.61059308052,312.53574435321724,-2.7303469891845524,-2.6064061636333227,0
index0_87,-66053.55718308687,305.0613083429397,-2.8128630948766356,-2.6390266745190334,0
index0_88,-65963.12257385254,301.41023681673903,-2.8102430846847737,-2.652516207469408,0
index0_89,-65828.53008770943,313.3196259461411,-2.838689519950406,-2.6557441913550606,0
index0_9,-65946.91784191132,298.01014257778684,-2.7720895748032084,-2.588836581991236,0
index0_90,-65911.1651763916,303.1917282484896,-2.743888120539026,-2.6143790538083147,0
