index,potential,temperature,ib0,ib1
index0_0,-141425.78791809082,306.1961677845382,-1.4921346559398914,-2.8693517129599524
index0_1,-141443.8408203125,306.1733649325731,-1.6876389803848806,-2.946912241498096
index0_10,-141671.4061279297,308.2449031710365,-1.497015347580775,-2.970953838638129
index0_11,-141664.19792175293,311.9842376987776,-1.5148835901726554,-2.9104357864436388
index0_12,-141924.54708862305,297.5942291038737,-1.6098136099577278,-2.9167619718338798
index0_13,-141764.0782623291,307.57649924276546,-1.6212864282095947,-2.961313310085784
index0_14,-142077.63403320312,306.43097450127175,-1.6104696503040519,-2.9555904454886606
index0_15,-142006.87255096436,308.19926436463584,-1.529430075817529,-2.9587522564443915
index0_16,-141943.84216308594,303.78394524494973,-1.5449140526209546,-2.9631383341011714
index0_17,-141931.29384613037,306.0060705370191,-1.5544582190956007,-2.9176393251724746
index0_18,-141868.46798706055,304.46433832979733,-1.5915915466658617,-2.9778538911711427
index0_19,-141770.31578063965,300.5798756588043,-1.5721095174596202,-2.9896825938431943
index0_2,-141609.45835876465,307.3016539379953,-1.6115753011859657,-2.9178820788137014
index0_20,-141809.05183410645,300.85452151866133,-1.5788720939487253,-2.9818765225999715
index0_21,-141979.38807678223,318.18720415954635,-1.4865555005902957,-2.9483044860190812
index0_22,-142210.8413772583,313.59735012348267,-1.5260242426895374,-2.9265689353504047
index0_23,-141925.56106567383,306.63831701678595,-1.5403592553769547,-2.951172947260021
index0_24,-141969.15965270996,304.33260356337183,-1.5308312663212817,-2.9765110166113162
index0_25,-142004.1648864746,311.1928647318113,-1.580549296586327,-2.949626929165376
index0_26,-142063.29553222656,305.92042777720576,-1.5620310562530495,-2.8630965068391507
index0_27,-141929.0118408203,301.8944089389382,-1.4293543702688725,-2.883049978574396
index0_28,-141879.9204711914,304.8639640537908,-1.5336714446081818,-2.89286064162179
index0_29,-141953.10373687744,307.1082753951201,-1.4718282239147509,-2.8659833168280757
index0_3,-141677.20960998535,315.4926751810154,-1.624185207507066,-2.9499228359870466
index0_30,-142298.24284362793,299.50679618831526,-1.4669873951150139,-2.836746733122302
index0_31,-142146.55798339844,309.9911290559256,-1.468159418022012,-2.8218369535447905
index0_32,-141982.8811340332,303.71442537012774,-1.462067792345294,-2.9103616238742602
index0_33,-142142.85623168945,302.1388571029877,-1.3740215990611988,-2.8420032775984736
index0_34,-141936.76329803467,311.4753201109427,-1.404749878614582,-2.8537355463190686
index0_35,-142141.90818023682,317.5449284022837,-1.4109545042095903,-2.827631424468823
index0_36,-141809.91151428223,308.5907486906902,-1.3851841203048334,-2.825924827334158
index0_37,-142228.29977416992,309.2710550662162,-1.4246065506707115,-2.8447836117274576
index0_38,-142306.4979019165,307.68337190040097,-1.4497664515184856,-2.8502190318775527
index0_39,-142261.69651031494,302.3963780606728,-1.45024615155883,-2.8640827252463543
index0_4,-141683.47358703613,306.7671316335176,-1.5904200443320473,-2.9523213272567936
index0_40,-142223.65753173828,303.86756114936946,-1.4579962117093508,-2.8705461595493205
index0_41,-142349.73481750488,301.48051400294287,-1.4841130151412365,-2.86426314628176
index0_42,-142094.07166290283,312.9222280449084,-1.4742704846041703,-2.882893585245332
index0_43,-142040.74340820312,312.9194022173581,-1.4933862480249602,-2.8964217824699654
index0_44,-141793.80404663086,309.0505854055608,-1.4467035762579745,-2.8417934448770183
index0_45,-142203.51791381836,300.38387105612037,-1.4398233497450685,-2.8451635754919966
index0_46,-142148.44801330566,313.0337814774936,-1.4554661744922952,-2.909031616340948
index0_47,-142306.94900512695,310.1283070062296,-1.5277678585147543,-2.908086657449372
index0_48,-142040.05335998535,312.4411294709617,-1.4933989072029303,-2.8684130296676185
index0_49,-142225.54149627686,315.02178109882965,-1.4829616674023545,-2.8813881363039475
index0_5,-141500.26378631592,316.224758351796,-1.5863762454330317,-2.9959890246189667
index0_50,-142092.6615447998,306.22674909521174,-1.51943310894219,-2.8940727266772632
index0_51,-142124.0302886963,314.4564036089177,-1.4749022524155897,-2.8994877758168283
index0_52,-141674.83647155762,304.217995547281,-1.476682288319278,-2.903581070462169
index0_53,-141953.41633605957,307.22716565137245,-1.5524935615650015,-2.893548377817664
index0_54,-142383.94870758057,310.1055236360897,-1.6249540978150034,-2.893600236726937
index0_55,-142035.7421722412,302.2984458290335,-1.4909015616922559,-2.923713093753852
index0_56,-142028.98566436768,305.65254498147345,-1.5099715899052573,-2.929857323006885
index0_57,-142077.83557128906,321.1495840271158,-1.531980269071218,-2.8875941515220864
index0_58,-142370.70455932617,307.0757088727511,-1.4791996213524639,-2.907109846916994
index0_59,-142207.13961791992,308.6940666191509,-1.52417127991151,-2.884522844329829
index0_6,-142085.20275878906,304.8338239022826,-1.5834517366333967,-2.9760172463082633
index0_60,-142379.60355377197,310.84047266168835,-1.540504373777757,-2.929347485448447
index0_61,-142252.9151611328,307.0391542395819,-1.5026073705221068,-2.9524337770098743
index0_62,-142319.0668334961,306.60939388498673,-1.4595553613511048,-2.936441282945072
index0_63,-142177.28576660156,301.9558880232417,-1.5537082358293484,-2.8631671827366034
index0_64,-142376.51174163818,309.578502358517,-1.5278575439453985,-2.9043887780400306
index0_65,-141860.1349182129,312.63630783369865,-1.5606806709136523,-2.883949704092062
index0_66,-142185.3889312744,308.38807472929955,-1.5812007298898183,-2.847055214633185
index0_67,-142363.2061920166,301.44491988112094,-1.5099906554866718,-2.8980719453554222
index0_68,-142359.55613708496,306.333740225445,-1.4966696967602038,-2.876881851257348
index0_69,-142327.59970855713,304.67171345163985,-1.5030647218228,-2.9055404936109226
index0_7,-141582.29641723633,312.64589523526314,-1.52223046278323,-2.904405454441788
index0_70,-142197.68766021729,316.3243325594083,-1.5181321565262045,-2.9011323582123847
index0_71,-142233.5330505371,311.6131455747841,-1.463569055345437,-2.86080437466619
index0_72,-142371.21032714844,310.6922552768959,-1.5745082884990476,-2.8390276765354368
index0_73,-142176.2363357544,308.7568951840445,-1.4858813115742902,-2.8679575605790286
index0_74,-142411.42087554932,309.3529860688534,-1.5221643181866027,-2.89559283444619
index0_75,-142076.640083313,311.42997745511207,-1.514583209611394,-2.885035942380059
index0_76,-142055.65594482422,313.2319416481744,-1.545191752292388,-2.9144027401708748
index0_77,-142340.1605834961,303.1720950880959,-1.6016367747405384,-2.922782843323443
index0_78,-141922.16999816895,308.6464706214837,-1.4567277388953768,-2.8822690916720135
index0_79,-142029.14254760742,306.9319791778942,-1.5799816355216005,-2.8967205222599914
index0_8,-141797.09956359863,303.9612503507772,-1.5381711050683613,-2.97141418452587
index0_80,-142380.79472351074,306.0697512310178,-1.5677364847636195,-2.8879563652597264
index0_81,-142551.17797851562,307.2195369527031,-1.543616676266061,-2.8674691543312596
index0_82,-142139.14457702637,316.67760793821174,-1.485735905322016,-2.9009862172888337
index0_83,-142215.05850219727,301.7494876060092,-1.5860216331709314,-2.8750252464625095
index0_84,-142192.4309539795,305.003530124612,-1.543605338454561,-2.8612555227761205
index0_85,-141976.30859375,303.7059475989086,-1.4604506542211766,-2.8819009376506117
index0_86,-142357.00267791748,303.91326126571556,-1.5751583206444062,-2.903423015489069
index0_87,-142433.02853393555,304.66847931401077,-1.5417028108264454,-2.8655364082558274
index0_88,-142271.5864944458,306.2854773121709,-1.5401989335469843,-2.909444421311749
index0_89,-142335.39877319336,304.61970175864246,-1.568539410475542,-2.9296799510955323
index0_9,-141945.5467224121,310.19657785327246,-1.5780895162641504,-2.9590459742557904
index0_90,-142168.433883667,311.4075435179706,-1.4823026258888956,-2.884689162709877
index0_91,-142054.69856071472,298.6682237478339,-1.5451473557818751,-2.891418252054
index0_92,-142181.731010437,311.159770402557,-1.6134214707479386,-2.8666052119448984
index0_93,-142376.89611816406,312.4365190793175,-1.5614536746412755,-2.91554552255156
index0_94,-142010.41102600098,310.9970512365684,-1.5165707144645797,-2.9019191418786394
index0_95,-142715.5464477539,296.42365361102685,-1.5127575401281912,-2.8859429797947938
index0_96,-142343.61157226562,305.17016051080566,-1.5695342030909243,-2.9001532682850844
index0_97,-142255.26036548615,309.9920856675621,-1.5446582948447152,-2.8569531022416306
index0_98,-142447.68544006348,305.4002543898724,-1.566263686471679,-2.9146776226348363
